2025-05-11 20:33:30.874!utc | INFO | Using uvloop for enhanced async performance
2025-05-22 11:54:14.969!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 11:54:14.969!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 11:54:14.969!utc | INFO | SnowflakeCortexService initialized
2025-05-22 11:54:14.969!utc | INFO | LLMService → provider=azure
2025-05-22 11:54:14.970!utc | INFO | LLMService → provider=azure
2025-05-22 11:54:14.970!utc | INFO | LLMSQLGenerator initialized
2025-05-22 11:54:14.970!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 11:54:14.970!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 11:54:14.970!utc | INFO | Private key passphrase provided: True
2025-05-22 11:54:14.970!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 11:54:14.970!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 11:54:14.971!utc | INFO | SnowflakeCortexService initialized
2025-05-22 11:54:14.971!utc | INFO | LeaseAgentService initialized with prompt-template approach
2025-05-22 11:54:15.007!utc | INFO | Starting Lease Administration Agent API
2025-05-22 11:54:15.007!utc | INFO | Using LLM provider: azure
2025-05-22 11:54:15.007!utc | INFO | Initializing Redis client
2025-05-22 11:54:15.008!utc | INFO | Selected Database Backend: redis
2025-05-22 11:54:15.008!utc | INFO | Attempting Redis connection (Attempt 1):
2025-05-22 11:54:15.008!utc | INFO |   Host: localhost
2025-05-22 11:54:15.008!utc | INFO |   Port: 6379
2025-05-22 11:54:15.008!utc | INFO |   DB: 0
2025-05-22 11:54:15.009!utc | INFO |   Password: Provided
2025-05-22 11:54:15.011!utc | INFO | ✅ Redis connection successful
2025-05-22 11:54:15.012!utc | INFO | Redis Server Version: 8.0.0
2025-05-22 11:54:15.012!utc | INFO | Connected to Database: 0
2025-05-22 11:54:15.012!utc | INFO | Redis client initialized successfully
2025-05-22 11:54:15.012!utc | INFO | Redis client initialized successfully
2025-05-22 11:54:15.012!utc | INFO | Initializing Redis models
2025-05-22 11:54:15.012!utc | INFO | Using provided Redis client for models
2025-05-22 11:54:15.012!utc | INFO | Redis models initialized successfully
2025-05-22 12:13:46.299!utc | INFO | Using uvloop for enhanced async performance
2025-05-22 12:13:46.315!utc | INFO | LLMService → provider=azure
2025-05-22 12:13:46.315!utc | INFO | LLMSQLGenerator initialized
2025-05-22 12:13:46.405!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 12:13:46.405!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 12:13:46.406!utc | INFO | Private key passphrase provided: True
2025-05-22 12:13:46.406!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 12:13:46.406!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 12:13:46.407!utc | INFO | LLMService → provider=azure
2025-05-22 12:13:46.407!utc | INFO | LLMSQLGenerator initialized
2025-05-22 12:13:46.407!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 12:13:46.407!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 12:13:46.407!utc | INFO | Private key passphrase provided: True
2025-05-22 12:13:46.407!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 12:13:46.408!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 12:13:46.408!utc | INFO | SnowflakeCortexService initialized
2025-05-22 12:13:46.408!utc | INFO | LLMService → provider=azure
2025-05-22 12:13:46.408!utc | INFO | LLMService → provider=azure
2025-05-22 12:13:46.408!utc | INFO | LLMSQLGenerator initialized
2025-05-22 12:13:46.408!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 12:13:46.409!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 12:13:46.409!utc | INFO | Private key passphrase provided: True
2025-05-22 12:13:46.409!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 12:13:46.409!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 12:13:46.409!utc | INFO | SnowflakeCortexService initialized
2025-05-22 12:13:46.409!utc | INFO | LeaseAgentService initialized with prompt-template approach
2025-05-22 12:13:46.447!utc | INFO | Starting Lease Administration Agent API
2025-05-22 12:13:46.447!utc | INFO | Using LLM provider: azure
2025-05-22 12:13:46.448!utc | INFO | Initializing Redis client
2025-05-22 12:13:46.448!utc | INFO | Selected Database Backend: redis
2025-05-22 12:13:46.448!utc | INFO | Attempting Redis connection (Attempt 1):
2025-05-22 12:13:46.448!utc | INFO |   Host: localhost
2025-05-22 12:13:46.448!utc | INFO |   Port: 6379
2025-05-22 12:13:46.448!utc | INFO |   DB: 0
2025-05-22 12:13:46.449!utc | INFO |   Password: Provided
2025-05-22 12:13:46.451!utc | INFO | ✅ Redis connection successful
2025-05-22 12:13:46.452!utc | INFO | Redis Server Version: 8.0.0
2025-05-22 12:13:46.452!utc | INFO | Connected to Database: 0
2025-05-22 12:13:46.452!utc | INFO | Redis client initialized successfully
2025-05-22 12:13:46.452!utc | INFO | Redis client initialized successfully
2025-05-22 12:13:46.452!utc | INFO | Initializing Redis models
2025-05-22 12:13:46.452!utc | INFO | Using provided Redis client for models
2025-05-22 12:13:46.453!utc | INFO | Redis models initialized successfully
2025-05-22 12:18:18.793!utc | INFO | Shutting down Lease Administration Agent API
2025-05-22 12:18:18.793!utc | INFO | Closed LLM service connections
2025-05-22 12:18:20.826!utc | INFO | Using uvloop for enhanced async performance
2025-05-22 12:18:20.841!utc | INFO | LLMService → provider=azure
2025-05-22 12:18:20.842!utc | INFO | LLMSQLGenerator initialized
2025-05-22 12:18:20.922!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 12:18:20.923!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 12:18:20.923!utc | INFO | Private key passphrase provided: True
2025-05-22 12:18:20.923!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 12:18:20.923!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 12:18:20.924!utc | INFO | LLMService → provider=azure
2025-05-22 12:18:20.924!utc | INFO | LLMSQLGenerator initialized
2025-05-22 12:18:20.924!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 12:18:20.924!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 12:18:20.924!utc | INFO | Private key passphrase provided: True
2025-05-22 12:18:20.925!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 12:18:20.925!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 12:18:20.925!utc | INFO | SnowflakeCortexService initialized
2025-05-22 12:18:20.925!utc | INFO | LLMService → provider=azure
2025-05-22 12:18:20.925!utc | INFO | LLMService → provider=azure
2025-05-22 12:18:20.926!utc | INFO | LLMSQLGenerator initialized
2025-05-22 12:18:20.926!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 12:18:20.926!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 12:18:20.926!utc | INFO | Private key passphrase provided: True
2025-05-22 12:18:20.926!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 12:18:20.926!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 12:18:20.926!utc | INFO | SnowflakeCortexService initialized
2025-05-22 12:18:20.927!utc | INFO | LeaseAgentService initialized with prompt-template approach
2025-05-22 12:18:20.962!utc | INFO | Starting Lease Administration Agent API
2025-05-22 12:18:20.963!utc | INFO | Using LLM provider: azure
2025-05-22 12:18:20.963!utc | INFO | Initializing Redis client
2025-05-22 12:18:20.963!utc | INFO | Selected Database Backend: redis
2025-05-22 12:18:20.963!utc | INFO | Attempting Redis connection (Attempt 1):
2025-05-22 12:18:20.963!utc | INFO |   Host: localhost
2025-05-22 12:18:20.963!utc | INFO |   Port: 6379
2025-05-22 12:18:20.964!utc | INFO |   DB: 0
2025-05-22 12:18:20.964!utc | INFO |   Password: Provided
2025-05-22 12:18:20.966!utc | INFO | ✅ Redis connection successful
2025-05-22 12:18:20.967!utc | INFO | Redis Server Version: 8.0.0
2025-05-22 12:18:20.967!utc | INFO | Connected to Database: 0
2025-05-22 12:18:20.967!utc | INFO | Redis client initialized successfully
2025-05-22 12:18:20.967!utc | INFO | Redis client initialized successfully
2025-05-22 12:18:20.967!utc | INFO | Initializing Redis models
2025-05-22 12:18:20.968!utc | INFO | Using provided Redis client for models
2025-05-22 12:18:20.968!utc | INFO | Redis models initialized successfully
2025-05-22 12:25:55.178!utc | INFO | Using uvloop for enhanced async performance
2025-05-22 12:25:55.194!utc | INFO | LLMService → provider=azure
2025-05-22 12:25:55.194!utc | INFO | LLMSQLGenerator initialized
2025-05-22 12:25:55.283!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 12:25:55.284!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 12:25:55.284!utc | INFO | Private key passphrase provided: True
2025-05-22 12:25:55.284!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 12:25:55.284!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 12:25:55.285!utc | INFO | LLMService → provider=azure
2025-05-22 12:25:55.285!utc | INFO | LLMSQLGenerator initialized
2025-05-22 12:25:55.285!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 12:25:55.285!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 12:25:55.285!utc | INFO | Private key passphrase provided: True
2025-05-22 12:25:55.285!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 12:25:55.286!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 12:25:55.286!utc | INFO | SnowflakeCortexService initialized
2025-05-22 12:25:55.286!utc | INFO | LLMService → provider=azure
2025-05-22 12:25:55.286!utc | INFO | LLMService → provider=azure
2025-05-22 12:25:55.286!utc | INFO | LLMSQLGenerator initialized
2025-05-22 12:25:55.287!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 12:25:55.287!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 12:25:55.287!utc | INFO | Private key passphrase provided: True
2025-05-22 12:25:55.287!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 12:25:55.287!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 12:25:55.287!utc | INFO | SnowflakeCortexService initialized
2025-05-22 12:25:55.287!utc | INFO | LeaseAgentService initialized with prompt-template approach
2025-05-22 12:25:55.324!utc | INFO | Starting Lease Administration Agent API
2025-05-22 12:25:55.324!utc | INFO | Using LLM provider: azure
2025-05-22 12:25:55.325!utc | INFO | Initializing Redis client
2025-05-22 12:25:55.325!utc | INFO | Selected Database Backend: redis
2025-05-22 12:25:55.325!utc | INFO | Attempting Redis connection (Attempt 1):
2025-05-22 12:25:55.325!utc | INFO |   Host: localhost
2025-05-22 12:25:55.326!utc | INFO |   Port: 6379
2025-05-22 12:25:55.326!utc | INFO |   DB: 0
2025-05-22 12:25:55.326!utc | INFO |   Password: Provided
2025-05-22 12:25:55.328!utc | INFO | ✅ Redis connection successful
2025-05-22 12:25:55.329!utc | INFO | Redis Server Version: 8.0.0
2025-05-22 12:25:55.329!utc | INFO | Connected to Database: 0
2025-05-22 12:25:55.329!utc | INFO | Redis client initialized successfully
2025-05-22 12:25:55.329!utc | INFO | Redis client initialized successfully
2025-05-22 12:25:55.329!utc | INFO | Initializing Redis models
2025-05-22 12:25:55.329!utc | INFO | Using provided Redis client for models
2025-05-22 12:25:55.329!utc | INFO | Redis models initialized successfully
2025-05-22 12:32:38.435!utc | INFO | Shutting down Lease Administration Agent API
2025-05-22 12:32:38.435!utc | INFO | Closed LLM service connections
2025-05-22 12:32:40.272!utc | INFO | Using uvloop for enhanced async performance
2025-05-22 12:32:40.287!utc | INFO | LLMService → provider=azure
2025-05-22 12:32:40.287!utc | INFO | LLMSQLGenerator initialized
2025-05-22 12:32:40.377!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 12:32:40.377!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 12:32:40.378!utc | INFO | Private key passphrase provided: True
2025-05-22 12:32:40.378!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 12:32:40.378!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 12:32:40.378!utc | INFO | LLMService → provider=azure
2025-05-22 12:32:40.379!utc | INFO | LLMSQLGenerator initialized
2025-05-22 12:32:40.379!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 12:32:40.379!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 12:32:40.379!utc | INFO | Private key passphrase provided: True
2025-05-22 12:32:40.379!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 12:32:40.380!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 12:32:40.380!utc | INFO | SnowflakeCortexService initialized
2025-05-22 12:32:40.380!utc | INFO | LLMService → provider=azure
2025-05-22 12:32:40.381!utc | INFO | LLMService → provider=azure
2025-05-22 12:32:40.381!utc | INFO | LLMSQLGenerator initialized
2025-05-22 12:32:40.381!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 12:32:40.381!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 12:32:40.381!utc | INFO | Private key passphrase provided: True
2025-05-22 12:32:40.381!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 12:32:40.382!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 12:32:40.382!utc | INFO | SnowflakeCortexService initialized
2025-05-22 12:32:40.382!utc | INFO | LeaseAgentService initialized with prompt-template approach
2025-05-22 12:32:40.420!utc | INFO | Starting Lease Administration Agent API
2025-05-22 12:32:40.421!utc | INFO | Using LLM provider: azure
2025-05-22 12:32:40.421!utc | INFO | Initializing Redis client
2025-05-22 12:32:40.421!utc | INFO | Selected Database Backend: redis
2025-05-22 12:32:40.421!utc | INFO | Attempting Redis connection (Attempt 1):
